,correct,rt,cond,log_rt
655,0,0.335,Speed,-1.0936247471570706
656,0,0.2927,Speed,-1.2286070852842967
657,1,0.5086,Neutral,-0.6760934259941177
658,1,0.45899999999999996,Accuracy,-0.778705068921592
659,1,0.5617,Accuracy,-0.57678737944375
660,1,0.6253,Accuracy,-0.4695237444088849
661,0,0.2756,Speed,-1.2888047398426334
662,0,0.35700000000000004,Speed,-1.0300194972024979
663,1,0.7142,Neutral,-0.33659224382178904
664,1,0.6806,Accuracy,-0.3847805169153317
665,0,0.514,Speed,-0.6655320135269719
666,1,0.4979,Neutral,-0.697356025334
667,0,0.3227,Speed,-1.131032179924221
668,0,0.3822,Speed,-0.9618112471759644
669,0,0.4365,Speed,-0.8289669037024802
670,1,0.4499,Accuracy,-0.7987299431350104
671,1,0.3036,Speed,-1.1920442334606622
672,1,0.5999,Accuracy,-0.5109923043230896
673,1,0.4781,Accuracy,-0.7379353633500794
674,1,0.3407,Speed,-1.0767529543152161
675,1,0.5509,Neutral,-0.5962019745034663
676,1,0.7748,Neutral,-0.25515034744929616
677,1,0.6551,Accuracy,-0.4229673832443064
678,1,0.4688,Neutral,-0.7575790407193342
679,1,0.3454,Speed,-1.063052113269559
680,1,0.6108,Accuracy,-0.49298570563765964
681,0,0.3965,Speed,-0.9250792379072343
682,1,0.8244,Accuracy,-0.19309942996583307
683,0,0.6195,Accuracy,-0.4788425779129398
684,1,0.6148,Neutral,-0.48645826731769626
685,1,0.6055,Neutral,-0.50170071598899
686,1,0.3622,Speed,-1.015558733532824
687,1,0.4439,Neutral,-0.8121559671421474
688,0,0.3302,Speed,-1.1080567474961094
689,0,0.3954,Speed,-0.9278573682456206
690,0,0.5506,Neutral,-0.5967466862736301
691,1,0.3415,Speed,-1.0744075999712923
692,1,0.33899999999999997,Speed,-1.0817551716016869
693,1,0.5516,Accuracy,-0.5949321330629903
694,1,0.45899999999999996,Speed,-0.778705068921592
695,1,0.4238,Neutral,-0.8584936331479384
696,1,0.8181,Neutral,-0.20077070046248446
697,1,0.3996,Neutral,-0.9172912322077386
698,0,0.3215,Speed,-1.1347577353044629
699,1,0.4502,Accuracy,-0.7980633505095052
700,1,0.3321,Neutral,-1.102319150599436
