,correct,left_coherence,pressed,right_coherence,rt,subj,coherence
157,False,0.06,F,0.18,0.4051357993221245,101,"0.06, 0.18"
158,True,0.12,J,0.3,0.06486963098814158,101,"0.12, 0.3"
159,True,0.24,F,0.06,0.32419369585250024,101,"0.06, 0.24"
160,True,0.0,J,0.06,0.3433392808165081,101,"0.0, 0.06"
161,False,0.24,F,0.3,0.27242607435618993,101,"0.24, 0.3"
162,False,0.24,J,0.12,0.32567622604483404,101,"0.12, 0.24"
163,False,0.06,F,0.24,0.2952045647857631,101,"0.06, 0.24"
164,False,0.18,J,0.18,0.3553232281533383,101,"0.18, 0.18"
165,True,0.3,F,0.0,0.3560431598866671,101,"0.0, 0.3"
166,True,0.12,J,0.3,0.2693206847729925,101,"0.12, 0.3"
167,True,0.18,F,0.06,0.3783028617181117,101,"0.06, 0.18"
168,True,0.12,J,0.18,0.40199840969444267,101,"0.12, 0.18"
169,True,0.3,F,0.0,0.3607917725248626,101,"0.0, 0.3"
170,True,0.0,J,0.3,0.3977185769263088,101,"0.0, 0.3"
171,True,0.12,F,0.0,0.3724372951510304,101,"0.0, 0.12"
172,False,0.0,J,0.0,0.3570458279423292,101,"0.0, 0.0"
173,True,0.24,F,0.06,0.29496518783071224,101,"0.06, 0.24"
174,True,0.24,F,0.18,0.349670302573486,101,"0.18, 0.24"
175,False,0.3,J,0.12,0.2612982321020354,101,"0.12, 0.3"
176,False,0.0,F,0.24,0.2891356386298867,101,"0.0, 0.24"
177,True,0.12,J,0.24,0.2862151843673928,101,"0.12, 0.24"
178,False,0.0,F,0.18,0.3026716573808699,101,"0.0, 0.18"
179,True,0.0,J,0.12,0.33700798200243304,101,"0.0, 0.12"
180,False,0.24,F,0.24,0.3342457270932755,101,"0.24, 0.24"
181,True,0.12,J,0.12,0.29317346240486586,101,"0.12, 0.12"
182,False,0.3,J,0.06,0.3438993508561907,101,"0.06, 0.3"
183,False,0.12,F,0.24,0.2419355732436088,101,"0.12, 0.24"
184,False,0.3,J,0.24,0.24121384064255835,101,"0.24, 0.3"
185,True,0.12,F,0.06,0.29045262746649314,101,"0.06, 0.12"
186,True,0.06,J,0.06,0.7515131449526962,101,"0.06, 0.06"
187,True,0.3,F,0.18,0.2880801912797324,101,"0.18, 0.3"
188,False,0.24,J,0.12,0.2203419156248856,101,"0.12, 0.24"
189,False,0.18,F,0.24,0.2262101142305255,101,"0.18, 0.24"
190,True,0.12,J,0.3,0.13879790655983015,101,"0.12, 0.3"
191,True,0.18,J,0.3,0.4313183464150825,101,"0.18, 0.3"
192,False,0.3,J,0.24,0.3222608100581965,101,"0.24, 0.3"
193,True,0.18,F,0.18,0.299952484782807,101,"0.18, 0.18"
194,True,0.06,J,0.3,0.2953173268460887,101,"0.06, 0.3"
195,True,0.12,F,0.06,0.2896857346299839,101,"0.06, 0.12"
196,False,0.3,J,0.3,0.24575036640726464,101,"0.3, 0.3"
197,True,0.24,F,0.18,0.24862011930053995,101,"0.18, 0.24"
198,False,0.18,J,0.06,0.2327609804478925,101,"0.06, 0.18"
199,True,0.12,F,0.0,0.2626236711666934,101,"0.0, 0.12"
200,False,0.0,F,0.24,0.26220254504232804,101,"0.0, 0.24"
201,False,0.24,J,0.24,0.2637044692010022,101,"0.24, 0.24"
202,False,0.0,F,0.18,0.26400202805507433,101,"0.0, 0.18"
203,True,0.12,J,0.3,0.2830755782865708,101,"0.12, 0.3"
204,True,0.0,J,0.12,0.37272543407834746,101,"0.0, 0.12"
205,True,0.3,F,0.12,0.4082156996928461,101,"0.12, 0.3"
206,False,0.24,J,0.12,0.2457252927792979,101,"0.12, 0.24"
207,True,0.3,F,0.0,0.2729042741530065,101,"0.0, 0.3"
208,False,0.0,J,0.0,0.264685665365505,101,"0.0, 0.0"
209,True,0.24,F,0.0,0.2662648883324437,101,"0.0, 0.24"
210,True,0.0,J,0.3,0.2834791113127721,101,"0.0, 0.3"
211,True,0.06,J,0.12,0.3650199342268934,101,"0.06, 0.12"
212,False,0.18,F,0.3,0.3591660040397073,101,"0.18, 0.3"
